Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,HOF
1049,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",Washington,No
1050,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington,No
1051,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",NA,No
1052,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",NA,No
1053,Wyndol Gray,1947,1948,G-F,6-1,175,"March 20, 1922",Harvard University,No
1054,Woody Grimshaw,1947,1947,G,6-1,185,"September 24, 1919",Brown University,No
1055,Coulby Gunther,1947,1949,F,6-4,190,"February 5, 1923","St. John's, Boston College",No
1056,Matt Guokas,1947,1947,F,6-3,195,"November 11, 1915",Saint Joseph's,No
1057,Chick Halbert,1947,1951,C,6-9,225,"February 27, 1919",West Texas A&M University,No
1058,Cecil Hankins,1947,1948,G,6-1,175,"January 6, 1922",Oklahoma State,No
1059,Kleggie Hermsen,1947,1953,C-F,6-9,225,"March 12, 1923",Minnesota,No
1060,Sonny Hertzberg,1947,1951,G,5-10,175,"July 29, 1922",City College of New York,No
1061,Art Hillhouse,1947,1948,C,6-7,220,"June 12, 1916",Long Island University,No
1062,Mel Hirsch,1947,1947,G,5-6,165,"July 31, 1921",Brooklyn College,No
1063,Charlie Hoefer,1947,1948,G,5-9,158,"September 16, 1921",Queens College,No
1064,Roy Hurley,1947,1947,F-G,6-2,170,"August 12, 1922",Murray State,No
1065,Fred Jacobs,1947,1947,F,6-3,175,"December 2, 1922",Denver,No
1066,John Janisch,1947,1948,F-G,6-3,200,"March 15, 1920",Valparaiso,No
1067,Tony Jaros,1947,1951,F-G,6-3,185,"February 22, 1920",Minnesota,No
1068,Harold Johnson,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University,No
1069,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",Iowa,No
1070,Roger Jorgensen,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State,No
1071,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",NYU,No
1072,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",NA,No
1073,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",NA,No
1074,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola Chicago,No
1075,Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's,No
1076,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",NA,No
1077,Tom King,1947,1947,G,6-0,165,"March 9, 1924",Michigan,No
1078,Lee Knorek,1947,1950,C,6-7,215,"July 15, 1921",Detroit Mercy,No
1079,Harold Kottman,1947,1947,C,6-8,220,"August 22, 1922",Culver-Stockton College,No
1080,Pete Lalich,1947,1947,F,6-2,190,"June 23, 1920",Ohio University,No
1081,Hank Lefkowitz,1947,1947,F,6-2,190,"August 31, 1923",Case Western Reserve University,No
1082,Grady Lewis,1947,1949,F-C,6-7,215,"March 25, 1917",Oklahoma,No
1083,John Logan,1947,1951,G,6-2,175,"January 1, 1921",Indiana,No
1084,Al Lujack,1947,1947,F,6-3,220,"October 5, 1920",Georgetown,No
1085,John Mahnken,1947,1953,C,6-8,220,"June 16, 1922",Georgetown,No
1086,Frank Mangiapane,1947,1947,G,5-10,195,"August 5, 1925",NYU,No
1087,Press Maravich,1947,1947,G,6-0,185,"August 29, 1915",Davis & Elkins College,No
1088,Dino Martin,1947,1948,G,5-8,160,"May 25, 1920",Georgetown,No
1089,Don Martin,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University,No
1090,Ariel Maughan,1947,1951,F,6-4,190,"February 23, 1923",Utah State University,No
1091,Mike McCarron,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall,No
1092,Howie McCarty,1947,1947,F-G,6-2,190,"April 15, 1919",Wayne State University,No
1093,Bones McKinney,1947,1952,F-C,6-6,185,"January 1, 1919",UNC,No
1094,George Mearns,1947,1948,F,6-3,175,"April 18, 1922",Rhode Island,No
1095,Ed Melvin,1947,1947,G,5-9,170,"February 13, 1916",Duquesne,No
1096,Stan Miasek,1947,1953,C-F,6-5,210,"September 19, 1923",NA,No
1097,Red Mihalik,1947,1947,G,6-0,180,"September 22, 1916",NA,No
1098,Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell,No
1099,Harry Miller,1947,1947,C-F,6-4,230,"July 28, 1923",UNC,No
1100,Walt Miller,1947,1947,F,6-2,190,"July 20, 1915",Duquesne,No
1101,John Mills,1947,1947,C-F,6-8,203,"September 7, 1919",Western Kentucky,No
1102,Leo Mogus,1947,1951,F-C,6-4,190,"April 13, 1921",Youngstown State University,No
1103,Elmore Morgenthaler,1947,1949,C,6-9,230,"August 3, 1922","New Mexico Tech, Boston College",No
1104,Bob Mullens,1947,1947,G,6-1,175,"November 1, 1922",Fordham,No
1105,George Munroe,1947,1948,G,5-11,170,"January 5, 1922",Dartmouth College,No
1106,Dick Murphy,1947,1947,G,6-1,175,"March 10, 1921",Manhattan College,No
1107,John Murphy,1947,1947,F,6-2,175,"September 13, 1924",NA,No
1108,Angelo Musi,1947,1949,G,5-9,145,"July 25, 1918",Temple,No
1109,Al Negratti,1947,1947,F-C,6-3,200,"June 12, 1921",Seton Hall,No
1110,Johnny Norlander,1947,1951,F,6-3,180,"March 5, 1921",Hamline University,No
1111,George Nostrand,1947,1950,C-F,6-8,195,"January 25, 1924",Wyoming,No
1112,Stan Noszka,1947,1949,G,6-1,185,"September 9, 1920",Duquesne,No
1113,Buddy O'Grady,1947,1949,G,5-11,160,"January 19, 1920",Georgetown,No
1114,Garland O'Shields,1947,1947,G-F,6-1,195,"May 23, 1921",Tennessee,No
1115,Bud Palmer,1947,1949,F-C,6-4,180,"September 14, 1921",Princeton,No
1116,Doyle Parrack,1947,1947,F-G,6-0,165,"December 6, 1921",Oklahoma State,No
1117,Marty Passaglia,1947,1949,G,6-1,170,"April 22, 1919",Santa Clara,No
1118,George Pastushok,1947,1947,G,6-1,195,"July 13, 1922",St. John's,No
1119,George Pearcy,1947,1947,G,6-1,165,"July 2, 1919",Indiana State University,No
1120,Henry Pearcy,1947,1947,G,6-1,170,"July 21, 1922",Indiana State University,No
1121,Don Putman,1947,1950,G,6-1,170,"November 13, 1922",Colorado,No
1122,Bob Rensberger,1947,1947,F,6-2,170,"March 7, 1921",Notre Dame,No
1123,Mel Riebe,1947,1949,G-F,5-11,180,"July 12, 1916",College of Wooster,No
1124,Petey Rosenberg,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's,No
1125,Hank Rosenstein,1947,1947,F,6-4,185,"June 16, 1920",City College of New York,No
1126,Irv Rothenberg,1947,1949,C,6-7,215,"December 31, 1921",Long Island University,No
1127,Mickey Rottner,1947,1948,G,5-10,180,"March 23, 1919",Loyola Chicago,No
1128,Giff Roux,1947,1949,F-C,6-5,195,"June 28, 1923",Kansas,No
1129,Jerry Rullo,1947,1950,G,5-10,165,"June 23, 1923",Temple,No
1130,Ed Sadowski,1947,1950,C,6-5,240,"July 11, 1915",Seton Hall,No
1131,Kenny Sailors,1947,1951,G,5-10,175,"January 14, 1921",Wyoming,No
1132,Ben Scharnus,1947,1949,F,6-2,173,"December 11, 1917",Seton Hall,No
1133,Ossie Schectman,1947,1947,G,6-0,175,"March 30, 1919",Long Island University,No
1134,Milt Schoon,1947,1950,C,6-7,230,"February 25, 1922",Valparaiso,No
1135,Dick Schulz,1947,1950,F-G,6-2,192,"January 3, 1917",Wisconsin,No
1136,Fred Scolari,1947,1955,G,5-10,180,"March 1, 1922",San Francisco,No
1137,Jim Seminoff,1947,1950,G-F,6-2,190,"September 1, 1922",USC,No
1138,George Senesky,1947,1954,G,6-2,179,"April 4, 1922",Saint Joseph's,No
1139,Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",NA,No
1140,Earl Shannon,1947,1949,G-F,5-11,170,"November 23, 1921",Rhode Island,No
1141,Bob Shea,1947,1947,F,6-2,194,"September 11, 1924",Rhode Island,No
1142,Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",Utah,No
1143,Ralph Siewert,1947,1947,C,7-1,230,"December 31, 1923",Dakota Wesleyan University,No
1144,Connie Simmons,1947,1956,C-F,6-8,222,"March 15, 1925",NA,No
1145,Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",NYU,No
1146,Belus Smawley,1947,1952,G-F,6-1,195,"March 20, 1918",Appalachian State University,No
1147,Deb Smith,1947,1947,F,6-3,180,"January 7, 1920",Utah,No
1148,Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",Detroit Mercy,No
1149,Art Spector,1947,1950,F,6-4,200,"October 17, 1918",Villanova,No
1150,Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse,No
1151,Art Stolkey,1947,1947,G,6-1,180,"October 23, 1920",Detroit Mercy,No
1152,Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",Rhode Island,No
1153,Buck Sydnor,1947,1947,G,5-10,175,"September 19, 1921",Western Kentucky,No
1154,Irv Torgoff,1947,1949,F,6-2,192,"March 6, 1917",Long Island University,No
1155,Virgil Vaughn,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky,No
1156,Butch van Breda Kolff,1947,1950,G-F,6-3,185,"October 28, 1922",NYU,No
1157,Red Wallace,1947,1947,G,6-1,185,"July 12, 1918",University of Scranton,No
1158,Jake Weber,1947,1947,C,6-6,225,"March 18, 1918",Purdue,No
1159,Ray Wertis,1947,1948,G,5-11,NA,"July 30, 1923",St. John's,No
1160,Max Zaslofsky,1947,1956,G-F,6-2,170,"December 7, 1925",St. John's,No
1161,Harry Zeller,1947,1947,C-F,6-4,210,"July 10, 1919",Washington & Jefferson College,No
1162,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple,No
1163,Carl Braun,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate,Yes
1164,Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",NA,No
1165,Chink Crossin,1948,1950,G,6-1,165,"July 4, 1923",Penn,No
1166,Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette,No
1167,Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue,No
1168,Johnny Ezersky,1948,1950,F-G,6-3,175,"March 21, 1922",Rhode Island,No
1169,Herm Fuetsch,1948,1948,G,6-0,170,"July 6, 1918",NA,No
1170,Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul,No
1171,Jack Hewson,1948,1948,F-C,6-6,195,"September 7, 1924",Temple,No
1172,Nat Hickey,1948,1948,G-F,5-11,180,"January 30, 1902",NA,No
1173,Paul Hoffman,1948,1955,G-F,6-2,195,"May 5, 1925",Purdue,No
1174,Dick Holub,1948,1948,C,6-6,205,"October 29, 1921",Long Island University,No
1175,Bob Hubbard,1948,1949,C-F,6-6,215,"December 27, 1922",Springfield College,No
1176,Paul Huston,1948,1948,F,6-3,175,"June 2, 1925",Ohio State,No
1177,Buddy Jeannette,1948,1950,G,5-11,175,"September 15, 1917",Washington & Jefferson College,Yes
1178,Johnny Jorgensen,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul,No
1179,Red Klotz,1948,1948,G,5-7,150,"October 21, 1920",Villanova,No
1180,Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",Notre Dame,No
1181,Saul Mariaschin,1948,1948,G,5-11,165,"September 1, 1924",Harvard University,No
1182,Chet McNabb,1948,1948,F,6-2,200,"September 19, 1920",Arizona State,No
1183,Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University,No
1184,Wat Misaka,1948,1948,G,5-7,150,"December 21, 1923","Weber State, Utah",No
1185,Paul Noel,1948,1952,F,6-4,185,"August 17, 1924",Kentucky,No
1186,Bob O'Brien,1948,1949,F,6-4,190,"January 26, 1927",Pepperdine,No
1187,Dick O'Keefe,1948,1951,G-F,6-2,185,"September 29, 1923",Santa Clara,No
1188,Andy Phillip,1948,1958,G-F,6-2,195,"March 7, 1922",Illinois,Yes
1189,Chick Reiser,1948,1950,G-F,5-11,165,"December 17, 1914",NYU,No
1190,Lee Robbins,1948,1949,F,6-3,175,"February 11, 1922",Colorado,No
1191,Red Rocha,1948,1957,C-F,6-9,185,"September 18, 1923",Oregon State,No
1192,Gene Rock,1948,1948,G,5-9,155,"November 4, 1921",USC,No
1193,Jack Rocker,1948,1948,C-F,6-5,185,"August 12, 1922",California,No
1194,Ben Schadler,1948,1948,F,6-0,185,"March 9, 1924",Northwestern,No
1195,Paul Seymour,1948,1960,G-F,6-1,180,"January 30, 1928",Toledo,No
1196,Gene Stump,1948,1950,F-G,6-2,185,"August 9, 1925",DePaul,No
1197,Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",NYU,No
1198,Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius,No
1199,Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",Kentucky,No
1200,Jack Toomay,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific,No
1201,Gene Vance,1948,1952,G-F,6-3,195,"February 25, 1923",Illinois,No
1202,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana,No
1203,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham,No
1204,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State,No
1205,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas,No
1206,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,No
1207,Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,No
1208,Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University,No
1209,Darrel Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University,No
1210,Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",NA,No
1211,Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University,No
1212,Bill Calhoun,1949,1955,F-G,6-3,180,"November 4, 1927",City College of San Francisco,No
1213,Joe Colone,1949,1949,F,6-5,210,"January 23, 1924",Bloomsburg University of Pennsylvania,No
1214,Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan,No
1215,Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",Notre Dame,No
1216,Bob Davies,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall,Yes
1217,Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",William & Mary,No
1218,Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago,No
1219,Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State,No
1220,Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,No
1221,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",Kansas,No
1222,Phil Farbman,1949,1949,F,6-1,185,"April 3, 1924",City College of New York,No
1223,Arnie Ferrin,1949,1951,F-G,6-2,180,"July 29, 1925",Utah,No
1224,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",NYU,No
1225,Harry Gallatin,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University,Yes
1226,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University,No
1227,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",UNC,No
1228,Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",NA,No
1229,Bruce Hale,1949,1951,G-F,6-1,170,"August 30, 1918",Santa Clara,No
1230,Ralph Hamilton,1949,1949,G-F,6-1,188,"June 10, 1921",Indiana,No
1231,John Hazen,1949,1949,G,6-2,172,"March 2, 1927",Indiana State University,No
1232,Bill Henry,1949,1950,C,6-9,215,"December 27, 1924",Rice University,No
1233,Doug Holcomb,1949,1949,F,6-4,200,"February 9, 1921",Wisconsin,No
1234,Red Holzman,1949,1954,G,5-10,175,"August 10, 1920",City College of New York,Yes
1235,Gene James,1949,1951,F,6-4,180,"February 15, 1925",Marshall,No
1236,Arnie Johnson,1949,1953,F-C,6-5,236,"May 16, 1920",Bemidji State University,No
1237,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul,No
1238,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",Holy Cross,No
1239,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",NC State,No
1240,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",NYU,No
1241,Bob Kinney,1949,1950,C-F,6-6,215,"September 16, 1920",Rice University,No
1242,Walt Kirk,1949,1952,G-F,6-3,173,"September 3, 1924",Illinois,No
1243,Leo Klier,1949,1950,F-G,6-2,170,"May 21, 1923",Notre Dame,No
1244,Andy Kostecka,1949,1949,F,6-3,203,"February 10, 1921",Georgetown,No
1245,Dan Kraus,1949,1949,G,6-0,195,"February 13, 1923",Georgetown,No
1246,Herb Krautblatt,1949,1949,G,6-1,190,"November 19, 1926",Rider University,No
1247,Andrew Levane,1949,1953,F-G,6-2,190,"April 11, 1920",St. John's,No
1248,Freddie Lewis,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University,No
1249,Al Lucas,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham,No
1250,Ray Lumpp,1949,1953,G,6-1,178,"July 11, 1923",NYU,No
1251,Jack Maddox,1949,1949,F-G,6-3,185,"December 10, 1919","SMU, West Texas A&M University",No
1252,Lionel Malamed,1949,1949,G,5-9,150,"November 15, 1924",City College of New York,No
1253,John Mandic,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State,No
1254,Mel McGaha,1949,1949,G,6-1,190,"September 26, 1926",Arkansas,No
1255,Ed Mikan,1949,1954,C-F,6-8,230,"October 20, 1925",DePaul,No
1256,George Mikan,1949,1956,C,6-10,245,"June 18, 1924",DePaul,Yes
1257,Bill Miller,1949,1949,F,6-3,190,"November 24, 1924",UNC,No
1258,Fritz Nagy,1949,1949,G-F,6-2,185,"January 3, 1924",University of Akron,No
1259,Paul Napolitano,1949,1949,F-G,6-2,185,"February 3, 1923",San Francisco,No
1260,Jack Nichols,1949,1958,C-F,6-7,222,"April 9, 1926",Washington,No
1261,Richie Niemiera,1949,1950,G-F,6-1,165,"May 26, 1921",Notre Dame,No
1262,Mike Novak,1949,1954,C-F,6-9,219,"April 23, 1915",Loyola Chicago,No
1263,Dermie O'Connell,1949,1950,G,6-0,174,"April 13, 1928",Holy Cross,No
1264,Fred Paine,1949,1949,F,6-5,210,"December 7, 1925",Westminster College of Pennsylvania,No
1265,Easy Parham,1949,1951,F-G,6-3,200,"December 27, 1921",Texas Wesleyan University,No
1266,Jake Pelkington,1949,1949,C-F,6-6,220,"January 3, 1916",Manhattan College,No
1267,Jim Pollard,1949,1955,F-C,6-4,185,"July 9, 1922",Stanford,Yes
1268,Les Pugh,1949,1950,C-F,6-7,190,"September 18, 1922",Ohio State,No
1269,Roy Pugh,1949,1949,C-F,6-6,210,"October 16, 1922",SMU,No
1270,Howie Rader,1949,1949,G-F,6-1,190,"March 29, 1921",Long Island University,No
1271,Ray Ramsey,1949,1949,G-F,6-2,165,"July 18, 1921",Bradley,No
1272,Arnie Risen,1949,1958,C-F,6-9,200,"October 9, 1924","Eastern Kentucky University, Ohio State",Yes
1273,Tex Ritter,1949,1951,G-F,6-2,185,"February 26, 1924",Eastern Kentucky University,No
1274,Bill Roberts,1949,1950,C,6-9,210,"March 13, 1925",Wyoming,No
1275,Kenny Rollins,1949,1953,G,6-0,168,"September 14, 1923",Kentucky,No
1276,Herm Schaefer,1949,1950,G-F,6-0,175,"December 20, 1918",Indiana,No
1277,Otto Schnellbacher,1949,1949,F-G,6-4,185,"April 15, 1923",Kansas,No
1278,Howie Shannon,1949,1950,G-F,6-2,175,"June 10, 1923","University of North Texas, Kansas State",No
1279,Dick Shrider,1949,1949,G,6-2,190,"February 7, 1923",Ohio University,No
1280,Jack Smiley,1949,1950,F-G,6-3,190,"December 22, 1922",Illinois,No
1281,Don Smith,1949,1949,G-F,6-2,190,"July 27, 1920",Minnesota,No
1282,Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky,No
1283,Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",NA,No
1284,Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",Rice University,No
1285,Hal Tidrick,1949,1949,F-G,6-1,190,"April 4, 1915",Washington & Jefferson College,No
1286,Andy Tonkovich,1949,1949,G,6-1,185,"November 1, 1922",Marshall,No
1287,Bob Tough,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's,No
1288,Blackie Towery,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky,No
1289,Dick Triptow,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul,No
1290,Brady Walker,1949,1952,F-C,6-6,205,"March 15, 1921",BYU,No
1291,Bobby Wanzer,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall,Yes
1292,Dick Wehr,1949,1949,F,6-4,180,"December 9, 1925",Rice University,No
1293,D.C. Wilcutt,1949,1950,G,6-2,165,"March 25, 1923",Saint Louis,No
1294,Ward Williams,1949,1949,F,6-4,195,"June 26, 1923",Indiana,No
1295,Matt Zunic,1949,1949,G-F,6-3,195,"December 19, 1919",George Washington,No
1296,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",Kentucky,No
1297,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame,No
1298,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",NC State,No
1299,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",Kentucky,No
1300,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette,No
1301,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple,No
1302,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927","Notre Dame, Denver",No
1303,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan,No
1304,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's,No
1305,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State,No
1306,Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1926","Kentucky, Michigan State",No
1307,Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",LSU,No
1308,Jack Burmaster,1950,1950,G,6-3,190,"December 23, 1926",Illinois,No
1309,Bob Carpenter,1950,1951,F-C,6-5,200,"November 6, 1917",Texas A&M University-Commerce,No
1310,Jake Carter,1950,1950,F-C,6-4,195,"July 25, 1924",Texas A&M University-Commerce,No
1311,Al Cervi,1950,1953,G-F,5-11,170,"February 12, 1917",NA,Yes
1312,John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",LSU,No
1313,Leroy Chollet,1950,1951,F,6-2,190,"March 5, 1925",Canisius,No
1314,Bill Closs,1950,1952,F-C,6-5,195,"January 8, 1922",Rice University,No
1315,Paul Cloyd,1950,1950,G-F,6-2,180,"June 13, 1920",Wisconsin,No
1316,Jack Coleman,1950,1958,F-C,6-7,195,"May 23, 1924",Louisville,No
1317,Bobby Cook,1950,1950,G-F,5-10,155,"April 1, 1923",Wisconsin,No
1318,Ray Corley,1950,1953,G,6-0,180,"January 14, 1928",Georgetown,No
1319,Jack Cotton,1950,1950,F-C,6-7,200,"October 25, 1924",Wyoming,No
1320,Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",Denver,No
